"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 19 08:22:23 BRT 2024","Fri Jul 19 08:22:56 BRT 2024","33030","","End 2 End - Entrega","","","","Cadastro de Produto - CADASTRAR PRODUTO SEM LIBERAÇÃO PARA FUNCIONARIO COM SUCESSO E COM NOVOS DADOS NO AUTOCOMPLETE",""
"passed","Fri Jul 19 08:23:02 BRT 2024","Fri Jul 19 08:23:12 BRT 2024","9265","","End 2 End - Entrega","","","","Entrega de Produto - REALIZAR ENTREGA DE PRODUTO PELA FORMA PADRÃO UTILIZANDO O FUNCIONARIO E PRODUTO CADASTRADO E LIBERADOS",""
"passed","Fri Jul 19 08:23:47 BRT 2024","Fri Jul 19 08:23:54 BRT 2024","7053","","Funcionário","","","","Cadastro de Funcionário - IMPEDIR CADASTRO DE CPF INVÁLIDO",""
"passed","Fri Jul 19 08:24:00 BRT 2024","Fri Jul 19 08:24:10 BRT 2024","10484","","Funcionário","","","","Cadastro de Funcionário - CADASTRAR PARA AUTOINCREMENTO O FUNCIONÁRIO EM MASSA COM SUCESSO",""
"passed","Fri Jul 19 08:23:54 BRT 2024","Fri Jul 19 08:24:00 BRT 2024","5793","","Funcionário","","","","Cadastro de Funcionário - IMPEDIR CADASTRO DE FUNCIONÁRIO COM ""REGISTRO"" EXISTENTE",""
"passed","Fri Jul 19 08:23:27 BRT 2024","Fri Jul 19 08:23:47 BRT 2024","19844","","Funcionário","","","","Cadastro de Funcionário - CADASTRAR FUNCIONÁRIO COM SUCESSO E COM DADOS EXISTENTES NO AUTOCOMPLETE",""
"passed","Fri Jul 19 08:21:56 BRT 2024","Fri Jul 19 08:22:23 BRT 2024","26518","","End 2 End - Entrega","","","","Cadastro de Funcionário - CADASTRAR FUNCIONÁRIO COM SUCESSO E COM NOVOS DADOS NO AUTOCOMPLETE",""
"failed","Fri Jul 19 08:24:24 BRT 2024","Fri Jul 19 08:24:29 BRT 2024","5031","","Produto","","","","Cadastro de Produto - CADASTRAR PRODUTO COM SUCESSO E COM DADOS EXISTENTES NO AUTOCOMPLETE",""
"passed","Fri Jul 19 08:22:56 BRT 2024","Fri Jul 19 08:23:02 BRT 2024","6636","","End 2 End - Entrega","","","","Liberação de Produto - LIBERAR O PRODUTO PARA O FUNCIONÁRIO ATRAVÉS DO CARGO",""
"passed","Fri Jul 19 10:24:45 BRT 2024","Fri Jul 19 10:24:49 BRT 2024","4098","","Login","","","","Login - FAZER LOGIN COM SUCESSO NO SISTEMA",""
